⿱一㇉	丂	&CDP-875E;
⿱丨一	丄	亠,J
⿻口丨	中	&CDP-865C;
⿱丿七	乇	&CDP-8646;
⿱乛亅	了	𠄐
⿱一一	二	𠄞	𠄟	𠄠
⿰亻具	俱	倶
⿰亻直	値	值
⿱丘八	兵	𠔊
⿵冂㐅	冈	罓
⿻𦉫一	冊	𠕁
⿱竹㓣	劄,HT	箚
⿰&CDP-8D69;刂	劉	𣃋,X
⿹勹㲃	匓,K	𠣿
⿷匚㞷	匩,TJ	𠥆
⿻十丨	卄	艹,GJ
⿱⺊⿴囗夕	卥,A	𠧧,X
⿰口匈	哅	㕼,K
⿱品山	喦	嵒
⿳吅大吅	器,J	𠾖
⿰口毚	嚵	𡅛
⿰𠶮𠶮	囍,K	𡅕
⿱十一	土	士
⿻土从	坐	&CDP-8D5B;
⿱覀土	垔,G	𡊹,T
⿱㮊土	壄,J	𡐨
⿻𠃍大	夬	&CDP-86AD;
⿻ユ人	夬	&CDP-86AD;
⿱丿大	夭	𫯛
⿻大皕	奭	&CDP-85BD;
⿰女𣬉	媲	𡠌
⿰女⿺免生	嬎	嬔,HT
⿰山孽	巕	𡿒
⿱氶己	巹,K	𢀷
⿱⿰己己共	巽,J	𢁉
⿰月帣	幐	㬺
⿳彑冖果	彙	𢑥
⿰忄壬	忹,O	𢗖
⿱直心	悳	惪
⿰忄麼	懡,TJKV	𢣗
⿰扌丸	执	𢩾
⿰扌𢆍	挿	揷
⿰扌䍃	搖	摇
⿱日日	昌	𭥗
⿰日免	晚	晩
⿱勿日	曶	㫚
⿰月元	朊	䏓,K
⿰月分	朌	肦,JK
⿰月出	朏	胐,GK
⿰月句	朐	胊,GK
⿰月兆	朓	脁,GK
⿰月夋	朘	脧,GJK
⿰月童	朣	膧,GK
⿰月蒙	朦	䑃,KV
⿰月龍	朧	𦢫
⿰木告	梏,GTKV	梏,J
⿰木殺	榝	樧
⿱梄灬	槱,JK	𪳝
⿰木虘	樝	𣙁,X
⿰木䦨	欄,J	𣟬
⿰壳殳	殻	殼
⿰氵⿱林月	潸,G	𣽽
⿰氵穀	濲	瀔
⿱巸灬	煕	熙
⿰火昷	煴	熅,K
⿰火勲	爋,K	𤑕	𤑛
⿰犭舃	獡,K	𤡯
⿷王丶	玉	玊
⿱玨人	珡	&CDP-8AA7;
⿰王豕	琢,J	𤥨
⿰王䍃	瑤	瑶
⿰王晋	瑨,G	𤨁
⿻日乚	电	&CDP-8BE8;
⿱畾宐	疉,J	𤴁
⿸疒𥄳	瘝,T	𤸄
⿱罒氺	眔,J	𥄳,G
⿰石薄	礡,O	礴,GK
⿰禾⿱尤㫖	稽,K	𥡴
⿱穴大	突,J	𥤮
⿱穴眞	窴,K	𥧑
⿱𮅕巳	篹,J	𥲻
⿱竹𡨥	簆,GJK	𥲃
⿱竹衰	簑	簔
⿱𮅕良	籑	𥶉,G
⿰糹者	緒,GT	緖,GT
⿰糸者	緒,J	緖,JK
⿰耳告	聕,GT	聕,K
⿻&CDP-8BAB;丨	肀	&CDP-884D;
⿰月交	胶,GJK	㬵
⿰月兩	脼,GJK	𣍷
⿰月區	膒,G	𦟾
⿱自大	臭,J	𦤀
⿱艹&CDP-8BF1;	芈	𦍋
⿱艹兒	萖	𦯵
⿺辶𦬸	蒁,J	𦳯
⿱艹夔	虁,GK	𧅄
⿱艹夒	虁,J	𡖂
⿰虫肅	蟰	𧑛
⿰言䍃	謠	謡,G
⿰言𦰌	謹,J	𧫴
⿰豸者	豬,K	𧳯
⿺辶录	逯,G	𨓻
⿺辶免	逸,J	𨓜
⿺辶䍃	遙	遥,G
⿰己阝	邔	𨙬
⿰干阝	邗	䢴,G
⿰會阝	鄶	𨞤
⿰金𥡞	鑙,X	𨮺
⿰阝⿱夂生	隆,J	𨺓
⿰𤴔頁	頙,J	𩑠
⿰⿱水廾頁	頮	颒
⿰类頁	類,J	𩔖
⿱埶馬	騺,O	驇
⿵鬥斲	鬬	鬭
⿰魚𥄳	鰥,T	𩹌
⿰禾龜	龝	䆋,K
⿱十早	龺	𠦝
⿲糸言糸	龻	䜌
⿰目㚒	鿃	䀹,T
⿰魚酒	鿐	䲤,O
⿱遂灬	鿪	㸂,O
⿰亻⿱𦦉巳	㒨,G	𠑗
⿱老口	㖈	䎛
⿹𢦏土	㘽	㦳
⿱高土	㙜	𡎲
⿰女毚	㜶	𡤎
⿳小日儿	㝸,J	𡭪
⿰月告	㬶,T	𦛩
⿰月荒	㬻	䐠,GK
⿰木絹	㯞	𣚓,X
⿱利&CDP-8D71;	㴝,O	𪏭
⿰火旬	㶷	𤈎
⿰王卂	㺬	𤣲
⿰月末	䏞,GJ	𦚜
⿱𢼄月	䏿,GJ	䏿,T
⿰衤臿	䙄	𧚎,X
⿰酉叜	䤇	𨡻
⿰金叜	䤹	𨨿
⿵鬥亀	䰗,A	𩰘
⿰女龜	䶯	𡤞
⿺走斗	﨣	𧺯
⿱丿止	𠂛	&CDP-8D62;
⿰亻叜	𠊯	𠋢
⿱入桀	𠓲	𣔕
⿻𦉫二	𠕋	&CDP-88AE;
⿱㞢𠔼	𠕓	𡴊
⿵⺆⿱丰口	𠕛	𠱬
⿶凵一	𠙵	&CDP-88BD;
⿶&CDP-885B;𭶰	𠚞	𤔼
⿰𠑾刀	𠜧	𠜰,X
⿰叜刂	𠝠	𠝬
⿻日十	𠦆	&CDP-8BD9;
⿻十从	𠦏	&CDP-8DE9;
⿻千𠈌	𠦬	&CDP-85A8;
⿰口𩰬	𠿎	𡁑
⿰口嫈	𡀘	𡀼
⿻土吅	𡋑	&CDP-88A5;
⿰土𡲬	𡑥	𡒈
⿻大吅	𡘜	&CDP-857A;
⿻大𠈌	𡙁	&CDP-857C;
⿰宂瓦	𡨍	𤬽
⿺尢㞷	𡯪	𡯭
⿱山覃	𡼒,T	𡼬,T
⿳山火炅	𡼷	𤎚
⿱⿱白巛⿰⿱白巛⿱白巛	𢀎	𤿄
⿻儿一	𢌬	&CDP-86D0;
⿰⺸⿱㢴土	𢐽	𦏚
⿰⺸𡍯	𢐽,X	𦏚,X
⿰⿱彐𥸪糸	𢑲	𦄳
⿷工彡	𢒄	𢒅
⿰彳𤝵	𢔷	𢔺
⿰忄霸	𢥻	𢥻
⿰扌冗	𢪚	𢪨
⿰扌匁	𢪣,X	𢪤
⿱𡘩手	𢲓	𦥹
⿰⿱咸觱攴	𣁀	𧥙
⿱昍昍	𣊫	𣊭
⿰月兄	𣍦	𦙿
⿰月曷	𣎅	𦝲
⿰月尋	𣎟	𦠅
⿱𠫓木	𣏋	𣐂,K
⿰木壳	𣒆	𣓘
⿰木𠦑	𣒏	𣓙
⿰木養	𣝡	𣞼
⿰叜毛	𣮯	𣮸
⿰氵𡉚	𣳫,T	𣵭
⿰氵亟	𣶬	𣷉
⿰氵沗	𣷹,X	𣸸
⿲水㐬水	𣹳	𣻤,T
⿰氵𦊽	𣽁	𣾞
⿰氵臮	𣽍,X	𣾄
⿰氵簾	𤅃,X	𤅄
⿰⿱又灰攵	𤉺	𤊮
⿱炎荧	𤐥	𤑋
⿰火龜	𤒅	𪚱
⿰爿一	𤕫	𤕬
⿸厂契	𤟐,X	𭆌
⿱𥄗玉	𤦼	𤧩
⿰王寳	𤫖	𤫞
⿰𫄾瓦	𤮫	𤮬,X
⿱殸𪏽	𤯒	𪐕
⿰目叜	𥈃	𥈟
⿰石叜	𥔉	𥔑
⿰禾⿱酉灬	𥡤,T	𥡱
⿱竹洴	𥰅	𥲂
⿱竹虛	𥲤,HT	𥳁
⿰米𠕋	𥹣	𥹤
⿰糹⿱一㡀	𦁥	𦂲
⿰糹𢍍	𦃍	𦅳
⿱罒月	𦊈	𦚋
⿳罒从誩	𦌽	𧮀
⿱罒⿰𬾕𬾕	𦌽	𧮀
⿰月董	𦡂	𦡦
⿱艹自	𦤄	𦤅
⿱艸仺	𦭠	𦭫
⿳艹一⿰日又	𦮆	𦰨
⿱艹姆	𦰓,X	𦲝
⿱艹穀	𦾫	𧂣
⿱艹遝	𦾽	𦿚
⿱艹𤕦	𧂘	𧃱
⿱𫠨䖵	𧋰,X	𧒙
⿱覀服	𧟱,T	𧟵
⿱口止	𧾷	&CDP-8B6B;
⿺辶𦘔	𨔥	𨕛
⿺辶衆	𨖙,X	𨖼,X
⿺辶⿱臾土	𨖽	𨗭
⿺辶𡩙	𨗉	𮟏
⿵門廛	𨷠	𨷭
⿱雨㦰	𩃔	𩃢,X
⿰⿱䒑𠂈頁	𩑿	𩒋
⿰馬閙	𩦔	𩦴
⿰予鳥	𩿎	𩿗
⿱士方	𫠤,X	&CDP-8DB2;
⿳⺊𠕎木	𬃄	𭪢
⿸疒怱	𭼙	𭼚
⿱艹𪌜	𮒂	𮒩
⿰虫兔	𮔔	𮔛
⿻帀𠈌	𮦆	&CDP-87F2;
⿻&CDP-8BF1;𠈌	&CDP-85A1;	&CDP-85D4;
⿻十𠈌	&CDP-85B0;	&CDP-88A6;
⿻日七	&CDP-8677;	&CDP-8840;
⿻口&CDP-8BF5;	&CDP-86A6;	&CDP-88AD;
⿻口儿	&CDP-86C7;	&CDP-877A;
⿻𠕋丨	&CDP-86E4;	&CDP-87B6;
⿻几二	&CDP-86FA;	&CDP-87B5;
⿻卄口	&CDP-8754;	&CDP-88DD;
⿱⿻口&CDP-88A1;一	&CDP-87A5;	&CDP-8871;
⿻廿凵	&CDP-87A7;	&CDP-88DF;
⿻二儿	&CDP-87AD;	&CDP-89FD;
⿻&CDP-8BAB;亅	&CDP-897B;	&CDP-8BFE;
